question,answer,domain,source,quality_score
Prompting Primary Care Providers about Increased Patient Risk As a Result of Family History: Does It Work?,No. Electronic health records have the potential to facilitate family history use by primary care physicians (PCPs) to provide personalized care. The objective of this study was to determine whether autom...,medical,PubMedQA,0.95
Do emergency ultrasound fellowship programs impact emergency medicine residents' ultrasound education?,"Yes. Recent years have seen a rapid proliferation of emergency ultrasound (EUS) programs in the United States. To date, there is no evidence supporting that EUS fellowships enhance residents' ultrasound (U...",medical,PubMedQA,0.95
Patient-Controlled Therapy of Breathlessness in Palliative Care: A New Therapeutic Concept for Opioid Administration?,"Yes. Breathlessness is one of the most distressing symptoms experienced by patients with advanced cancer and noncancer diagnoses alike. Often, severity of breathlessness increases quickly, calling for rapi...",medical,PubMedQA,0.95
Is there still a need for living-related liver transplantation in children?,Yes. To assess and compare the value of split-liver transplantation (SLT) and living-related liver transplantation (LRT)....,medical,PubMedQA,0.95
Do patterns of knowledge and attitudes exist among unvaccinated seniors?,Yes. To examine patterns of knowledge and attitudes among adults aged>65 years unvaccinated for influenza....,medical,PubMedQA,0.95
Is there a model to teach and practice retroperitoneoscopic nephrectomy?,"Yes. Although the retroperitoneal approach has been the preferred choice for open urological procedures, retroperitoneoscopy is not the preferred approach for laparoscopy. This study aims to develop a trai...",medical,PubMedQA,0.95
Cardiovascular risk in a rural adult West African population: is resting heart rate also relevant?,Yes. Elevated resting heart rate (RHR) is a neglected marker in cardiovascular risk factor studies of sub-Saharan African populations. This study aimed to determine the prevalence of elevated RHR and other...,medical,PubMedQA,0.95
Israeli hospital preparedness for terrorism-related multiple casualty incidents: can the surge capacity and injury severity distribution be better predicted?,Yes. The incidence of large-scale urban attacks on civilian populations has significantly increased across the globe over the past decade. These incidents often result in Hospital Multiple Casualty Inciden...,medical,PubMedQA,0.95
Acute respiratory distress syndrome in children with malignancy--can we predict outcome?,Yes. The purpose of this study was to delineate early respiratory predictors of mortality in children with hemato-oncology malignancy who developed acute respiratory distress syndrome (ARDS)....,medical,PubMedQA,0.95
Secondhand smoke risk in infants discharged from an NICU: potential for significant health disparities?,Yes. Secondhand smoke exposure (SHSe) threatens fragile infants discharged from a neonatal intensive care unit (NICU). Smoking practices were examined in families with a high respiratory risk infant (born ...,medical,PubMedQA,0.95
Do nomograms designed to predict biochemical recurrence (BCR) do a better job of predicting more clinically relevant prostate cancer outcomes than BCR?,Yes. To examine the ability of various postoperative nomograms to predict prostate cancer-specific mortality (PCSM) and to validate that they could predict aggressive biochemical recurrence (BCR). Prostate...,medical,PubMedQA,0.95
Are reports of mechanical dysfunction in chronic oro-facial pain related to somatisation?,Yes. (i) To examine the association between self-reported mechanical factors and chronic oro-facial pain. (ii) To test the hypothesis that this relationship could be explained by: (a) reporting of psycholo...,medical,PubMedQA,0.95
What are the four elements required to establish a negligence claim?,"The four elements of negligence are: (1) duty of care owed to the plaintiff, (2) breach of that duty through action or inaction, (3) causation linking the breach to the harm, and (4) actual damages suffered by the plaintiff.",legal,Legal Principles Database,0.92
How do courts determine if a duty of care exists in negligence cases?,"Courts determine duty of care by examining the relationship between parties, foreseeability of harm, and policy considerations. The reasonable person standard is often applied.",legal,Tort Law Principles,0.92
What is the difference between express and implied contracts?,"Express contracts have terms explicitly stated orally or in writing, while implied contracts are formed through the conduct and circumstances of the parties, creating legally binding obligations without explicit agreement.",legal,Contract Law Database,0.92
What makes a contract legally enforceable?,"A legally enforceable contract requires offer, acceptance, consideration, mutual assent, legal capacity of parties, and legal purpose. All elements must be present.",legal,Contract Law Fundamentals,0.92
What constitutes copyright infringement under federal law?,"Copyright infringement occurs when someone violates any of the exclusive rights granted to copyright owners under 17 U.S.C. § 106, including reproduction, distribution, public performance, or creation of derivative works without authorization.",legal,Intellectual Property Law,0.92
What is the statute of limitations for personal injury claims?,Personal injury statute of limitations varies by jurisdiction but typically ranges from 1-6 years from the date of injury or discovery. Most states have a 2-3 year limitation period for personal injury claims.,legal,Civil Procedure Database,0.92
What are the requirements for a valid will under most state laws?,"A valid will typically requires: (1) testamentary capacity, (2) testamentary intent, (3) compliance with statutory formalities (usually written, signed, and witnessed), and (4) absence of undue influence or fraud.",legal,Estates and Trusts Law,0.92
